date,away,away_score,home,home_score,away_1st_half,away_2nd_half,away_OT,home_1st_half,home_2nd_half,home_OT,spread,over_under
2016-11-11,Lafayette,48,Villanova,88,17,31,,49,39,,34.0,149.5
2016-11-11,Louisiana Tech,76,South Carolina,85,31,45,,42,43,,10.0,154.0
2016-11-11,Marquette,95,Vanderbilt,71,39,56,,40,31,,-2.0,150.0
2016-11-11,American,56,Maryland,62,25,31,,31,31,,20.5,133.5
2016-11-11,Arizona,65,Michigan State,63,34,31,,30,33,,1.0,143.0
2016-11-11,Austin Peay,68,Dayton,96,27,41,,44,52,,19.0,150.5
2016-11-11,Bowling Green,70,Oakland,78,29,41,,35,43,,8.5,155.0
2016-11-11,Brown,55,Cincinnati,84,25,30,,43,41,,23.5,144.0
2016-11-11,Chattanooga,82,Tennessee,69,34,48,,29,40,,3.5,150.5
2016-11-11,Dartmouth,61,Rhode Island,84,26,35,,39,45,,18.5,137.5
2016-11-11,Drexel,65,Monmouth,78,32,33,,47,31,,20.0,150.5
2016-11-11,Eastern Michigan,90,Pittsburgh,93,31,41,,40,32,,11.5,153.5
2016-11-11,Evansville,47,Louisville,78,27,20,,43,35,,22.5,141.0
2016-11-11,Fordham,59,East Tennessee State,96,37,22,,47,49,,6.5,152.5
2016-11-11,Georgia,64,Clemson,74,30,34,,40,34,,4.0,140.0
2016-11-11,Georgia Southern,79,North Carolina State,81,36,43,,37,44,,14.0,157.5
2016-11-11,James Madison,55,Old Dominion,62,31,24,,30,32,,4.0,126.0
2016-11-11,La Salle,92,Temple,97,39,42,,42,39,,-2.5,140.0
2016-11-11,Marist,49,Duke,94,28,21,,54,40,,30.5,159.5
2016-11-11,Montana State,65,Washington State,69,21,44,,31,38,,9.5,157.0
2016-11-11,Oral Roberts,61,Baylor,76,31,30,,38,38,,17.0,146.5
2016-11-11,Stephen F. Austin,64,Kentucky,87,32,32,,48,39,,21.5,144.0
2016-11-11,Tennessee-Martin,83,Mississippi,86,42,41,,39,47,,17.5,148.5
2016-11-11,The Citadel,68,College of Charleston,81,26,42,,32,49,,21.5,
2016-11-11,VMI,69,Richmond,72,22,47,,25,47,,16.5,147.0
2016-11-11,Virginia,76,UNC Greensboro,51,42,34,,17,34,,-14.0,136.0
2016-11-11,Western Carolina,43,Miami,92,18,25,,41,51,,23.0,142.0
2016-11-11,Tennessee State,78,UC Davis,64,29,49,,26,38,,-4.0,136.5
2016-11-11,Arkansas State,66,North Dakota State,76,34,32,,40,36,,12.0,141.0
2016-11-11,Ball State,85,Saint Louis,64,43,42,,19,45,,-4.0,138.0
2016-11-11,Buffalo,76,Niagara,66,31,45,,33,33,,-6.0,146.5
2016-11-11,IPFW,83,Arkansas,92,45,38,,51,41,,15.0,157.5
2016-11-11,IUPUI,87,Eastern Kentucky,97,28,59,,42,55,,,157.0
2016-11-11,Illinois State,70,Murray State,73,32,38,,29,44,,-2.0,142.0
2016-11-11,Indiana State,78,Northern Illinois,80,29,43,,36,36,,6.0,143.0
2016-11-11,Jacksonville State,84,Tulsa,73,38,46,,28,45,,12.0,139.0
2016-11-11,Louisiana-Lafayette,74,Minnesota,86,26,48,,48,38,,8.5,153.0
2016-11-11,Southern Utah,65,Valparaiso,79,28,37,,40,39,,22.5,152.5
2016-11-11,Tennessee Tech,55,Georgia Tech,70,27,28,,30,40,,7.0,150.0
2016-11-11,Wright State,85,Southern Illinois,81,31,54,,35,46,,5.5,144.5
2016-11-11,Coastal Carolina,53,Alabama,70,33,20,,27,43,,12.0,135.5
2016-11-11,Indiana,103,Kansas,99,42,47,,46,43,,6.0,153.0
2016-11-11,North Carolina,95,Tulane,75,46,49,,32,43,,-21.5,152.5
2016-11-11,Northwestern State,44,Texas A&M,72,21,23,,33,39,,21.0,159.0
2016-11-11,Ohio State,78,Navy,68,33,45,,28,40,,-16.5,136.0
2016-11-11,Pacific,80,UCLA,119,39,41,,63,56,,16.5,156.0
2016-11-11,Portland State,70,Arizona State,88,30,40,,44,44,,,155.0
2016-11-11,Sacramento State,53,Colorado,90,19,34,,42,48,,20.5,146.0
2016-11-11,Southeast Missouri State,62,Illinois,81,31,31,,37,44,,24.0,151.5
2016-11-11,Western Illinois,55,Kansas State,82,21,34,,35,47,,18.0,138.5
2016-11-11,South Dakota,79,Drake,74,39,40,,45,29,,4.5,145.5
2016-11-11,Cal Poly,68,Pepperdine,77,31,37,,39,38,,8.0,139.5
2016-11-11,Idaho State,70,New Mexico,81,38,32,,32,49,,17.0,153.5
2016-11-11,Northern Arizona,64,Santa Clara,67,26,38,,28,39,,12.5,146.0
2016-11-11,South Alabama,76,UNLV,68,34,42,,30,38,,6.0,143.5
2016-11-11,South Dakota State,53,California,82,28,25,,40,42,,12.0,144.0
2016-11-11,Texas State,61,Florida Atlantic,57,24,37,,26,31,,-1.0,135.0
2016-11-11,UC Riverside,55,Portland,71,24,31,,33,38,,7.0,147.5
2016-11-11,UTSA,66,Fresno State,69,23,43,,28,41,,15.0,146.5
2016-11-11,Utah State,72,UC Irvine,56,40,32,,24,32,,4.5,148.0
2016-11-11,Army,77,Oregon,91,31,46,,49,42,,31.0,144.0
2016-11-11,Harvard,70,Stanford,80,28,42,,30,50,,3.5,139.0
2016-11-11,Montana,61,USC,75,30,31,,34,41,,11.5,154.0
2016-11-11,Nevada,63,Saint Mary's-California,81,29,34,,42,39,,11.5,144.5
2016-11-11,San Diego,59,San Diego State,69,33,26,,35,34,,19.0,126.0
2016-11-11,UIC,80,San Francisco,82,37,43,,48,34,,5.0,146.0
2016-11-12,Southern Illinois-Edwardsville,69,Hawaii,68,36,33,,38,30,,10.0,
2016-11-12,Wofford,69,LSU,91,43,26,,39,52,,7.5,149.5
2016-11-12,Kent State,79,Cleveland State,74,34,32,,21,45,,-1.0,139.5
2016-11-12,Nebraska-Omaha,74,UC-Santa Barbara,60,34,40,,30,30,,4.5,158.0
2016-11-12,Toledo,76,Saint Joseph's,77,41,35,,40,37,,2.5,150.0
2016-11-12,Towson,67,George Mason,61,30,37,,31,30,,1.0,143.5
2016-11-12,Northern Colorado,52,Butler,89,31,21,,41,48,,28.5,152.0
2016-11-12,Akron,82,Youngstown State,90,41,41,,36,54,,-8.0,162.0
2016-11-12,Appalachian State,74,Davidson,86,37,37,,33,53,,17.5,159.0
2016-11-12,UC Davis,63,Santa Clara,58,24,39,,27,31,,5.5,139.0
2016-11-12,Northern Arizona,65,Tennessee State,69,30,35,,28,41,,10.0,148.0
2016-11-13,IUPUI,65,Michigan,77,32,33,,43,34,,17.5,
